"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"theta",0.43855156621825,0.42656543,0.121313915014521,0.111168528177,0.2588420885,0.67354832,1.00620907103848,567.548886957643,705.135262762108
"mu1",0.9381105874285,0.97267489,0.208334762235194,0.183646711626,0.527393966,1.218260165,1.00663998438184,557.121643825443,747.200691856161
"mu2",-0.7231232354605,-0.709883105,0.202062144049792,0.186256613949,-1.084372375,-0.394393746,1.00574008385841,590.437601601815,870.162517119691
"sigma1",0.4976006270475,0.476494125,0.133114194900059,0.121768035879,0.318976442,0.758332322,1.00663042560151,575.929414607761,703.920003721268
"sigma2",0.6094173686925,0.60863276,0.125210875549105,0.120320358522,0.3943403965,0.821025258,1.00570985959605,706.298465819698,671.185916615298
