"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-219.33389444,-218.912965,1.99029768708487,1.85985498299997,-223.1184575,-216.9306705,1.00769644628436,534.131044383398,532.318171850072
"mu[1]",-0.177467769252767,-0.162396715,0.140318702789453,0.124027444149,-0.4345874915,0.02551798815,1.00548347351179,987.466697909296,1024.46251011148
"mu[2]",0.696838106274158,0.450361495,0.734692591931485,0.495303012393,-0.009247786975,2.27547725,1.00454248056189,562.581460963904,735.93383379939
"sigma[1]",0.8321891715675,0.824467525,0.168301017184842,0.112042468986,0.6058034255,1.11656983,1.0156372869776,360.832599096729,350.18923376432
"sigma[2]",1.15287876065275,1.1417777,0.341873869099943,0.245420864073,0.562212525,1.7084804,1.01277413872938,483.203300537608,331.412290069344
"theta[1]",0.677069376314,0.72149848,0.221697956406057,0.228504197922,0.237007037,0.949378769,1.00283676188077,623.145630443572,547.283607810158
"theta[2]",0.3229306237047,0.27850152,0.221697956378676,0.228504197922,0.050621233,0.762992962999999,1.00283676188077,623.145630443572,547.283607810158
"log_lik[1]",-0.9637743354025,-0.966125975,0.0808710010507553,0.0722943558749999,-1.089209315,-0.834596758,1.00406073931839,1131.69796845011,783.532064486725
"log_lik[2]",-1.952006328825,-1.9397486,0.172839973383212,0.17452181271,-2.250696455,-1.688382985,1.00086410568476,2073.10765100433,2803.09422501866
"log_lik[3]",-1.14778788582,-1.1416336,0.101169641188044,0.0926710990799999,-1.318622705,-0.9920860355,1.00588347692203,719.959984485182,603.328811418202
"log_lik[4]",-1.01255167985,-1.01380915,0.0823147682714814,0.074267948517,-1.142007945,-0.8842730025,1.00440747350792,1021.5747200167,806.854981892836
"log_lik[5]",-1.27946588647,-1.2738233,0.105588294096088,0.0989224078499998,-1.458815625,-1.121163205,1.0026205700739,1284.32279000192,1254.17822934671
"log_lik[6]",-0.86337764123,-0.86706719,0.0812426765695372,0.077950445223,-0.9891226745,-0.7274789245,1.00217787696292,2253.14121334723,1580.40560166769
"log_lik[7]",-1.3086213404625,-1.30093555,0.108724273320901,0.10160865666,-1.49686607,-1.142540565,1.00484201499339,769.801891214232,777.538491652364
"log_lik[8]",-1.2905011587125,-1.2851293,0.106684040224281,0.10046749944,-1.4710236,-1.131161875,1.00251913953121,1308.97049221766,1271.18599038352
"log_lik[9]",-1.328213970525,-1.3216034,0.110155448903106,0.10490165952,-1.51609202,-1.16349923,1.00218455932441,1394.82156238953,1513.47716645029
"log_lik[10]",-3.279718904475,-3.2649774,0.298423507118259,0.29115024519,-3.799899765,-2.82463504,1.00079744698624,2478.05769230436,2466.64994444629
"log_lik[11]",-1.07610770063,-1.07556315,0.0860906595906215,0.0789547510499999,-1.216225245,-0.945996642,1.00433757849134,979.118583954059,922.521499805018
"log_lik[12]",-0.8607953411475,-0.864386465,0.0811388291798207,0.077837085627,-0.986867237,-0.724209662,1.00212837291526,2317.98061703507,1809.02238839807
"log_lik[13]",-2.9877631447,-2.9738514,0.262487200908737,0.25689595827,-3.445090695,-2.59182887,1.00050414720146,2747.2899131828,2763.30468144549
"log_lik[14]",-1.172170814165,-1.1689858,0.0938647278500676,0.0870118666199999,-1.326852685,-1.030335475,1.0036461075527,1086.8400023655,989.307505488761
"log_lik[15]",-0.977646949645,-0.97946981,0.0810388852099633,0.073042646334,-1.10374045,-0.8492256695,1.00419026529023,1093.61948214409,810.97226053382
"log_lik[16]",-1.30145901223,-1.29574455,0.107727717095683,0.10191733398,-1.48356267,-1.14047826,1.00240887418683,1333.62105890877,1382.26825994556
"log_lik[17]",-1.2543440014675,-1.249579,0.102910578008471,0.09656900274,-1.42774382,-1.099704925,1.00285692268342,1231.48140341767,1182.69405939905
"log_lik[18]",-0.947329931755,-0.949734905,0.0808342600475585,0.072945832554,-1.07183561,-0.8176946825,1.00387287356374,1192.54967315082,817.032415577496
"log_lik[19]",-1.15743606644,-1.155061,0.0923043102367501,0.08589991662,-1.31021207,-1.017028575,1.00380224235335,1061.12789968023,939.358100679022
"log_lik[20]",-0.8607252332375,-0.861265485,0.0819522198974371,0.08012607918,-0.994300201,-0.727227318,1.00255705491929,2259.35050370932,2670.64774136607
"log_lik[21]",-0.9054228090475,-0.90936773,0.0807029115722224,0.0736365684810001,-1.028421325,-0.774463845,1.00311411954996,1545.44972862392,975.760649241592
"log_lik[22]",-0.8935900786075,-0.897207615,0.0808720335826488,0.074386230345,-1.0171731,-0.7586630505,1.00285106516741,1678.17510757258,951.980944241552
"log_lik[23]",-2.3321683264,-2.3193787,0.206112687733587,0.206504978819999,-2.692798095,-2.020029725,1.00057179007688,2204.27309679422,2539.26215138962
"log_lik[24]",-5.2131557133,-5.13762785,0.799842633373072,0.796509132929999,-6.646080665,-4.04942291,1.00285081051135,998.978669236301,1825.30723913649
"log_lik[25]",-1.99256183825,-1.97902665,0.176659499191538,0.17805625698,-2.29717081,-1.723301415,1.00084310507246,2077.98302587226,2613.48588950112
"log_lik[26]",-0.9483780781125,-0.94428005,0.0891853508130639,0.083459223435,-1.0977498,-0.809864043,1.00505320380936,864.177860602659,983.35395924639
"log_lik[27]",-0.8610556439325,-0.86462517,0.081148486733596,0.0779562051239999,-0.9867546275,-0.7246601105,1.00213195565372,2311.99903271429,1762.00844717651
"log_lik[28]",-0.862641530495,-0.86655033,0.0812121658227227,0.078078912513,-0.988384103,-0.726670024,1.00215501070014,2281.72168793559,1756.92498279601
"log_lik[29]",-2.304085239825,-2.29130525,0.203807651637825,0.20565478185,-2.66110203,-1.995566645,1.000587792905,2189.39057772179,2523.06695840631
"log_lik[30]",-1.3739015305275,-1.36687095,0.11403273594674,0.1100637762,-1.571796515,-1.20180638,1.00188045516221,1503.1305825868,1678.17348170976
